"Scenario","Year","Vehicle","age","modelYear","LIB"
"Ambitious-Reference",2040,"Cars",2,2038,25206
"Ambitious-Reference",2040,"Cars",3,2037,38838
"Ambitious-Reference",2040,"Cars",4,2036,59786
"Ambitious-Reference",2040,"Cars",5,2035,91469
"Ambitious-Reference",2040,"Cars",6,2034,122790
"Ambitious-Reference",2040,"Cars",7,2033,170855
"Ambitious-Reference",2040,"Cars",8,2032,232050
"Ambitious-Reference",2040,"Cars",9,2031,312243
"Ambitious-Reference",2040,"Cars",10,2030,406251
"Ambitious-Reference",2040,"Cars",11,2029,472769
"Ambitious-Reference",2040,"Cars",12,2028,485413
"Ambitious-Reference",2040,"Cars",13,2027,451044
"Ambitious-Reference",2040,"Cars",14,2026,384076
"Ambitious-Reference",2040,"Cars",15,2025,278143
"Ambitious-Reference",2040,"Cars",16,2024,127506
"Ambitious-Reference",2040,"Cars",17,2023,47158
"Ambitious-Reference",2040,"Cars",18,2022,24928
"Ambitious-Reference",2040,"Cars",19,2021,5892
"Ambitious-Reference",2040,"Cars",20,2020,1560
"Ambitious-Reference",2040,"Cars",21,2019,646
"Ambitious-Reference",2040,"Cars",22,2018,264
"Ambitious-Reference",2040,"Cars",23,2017,56
"Ambitious-Reference",2040,"Cars",24,2016,68
"Ambitious-Reference",2041,"Cars",0,2041,10667
"Ambitious-Reference",2041,"Cars",1,2040,16580
"Ambitious-Reference",2041,"Cars",2,2039,25582
"Ambitious-Reference",2041,"Cars",3,2038,39441
"Ambitious-Reference",2041,"Cars",4,2037,60598
"Ambitious-Reference",2041,"Cars",5,2036,92891
"Ambitious-Reference",2041,"Cars",6,2035,141237
"Ambitious-Reference",2041,"Cars",7,2034,187772
"Ambitious-Reference",2041,"Cars",8,2033,257421
"Ambitious-Reference",2041,"Cars",9,2032,341864
"Ambitious-Reference",2041,"Cars",10,2031,444886
"Ambitious-Reference",2041,"Cars",11,2030,551483
"Ambitious-Reference",2041,"Cars",12,2029,594617
"Ambitious-Reference",2041,"Cars",13,2028,556337
"Ambitious-Reference",2041,"Cars",14,2027,460640
"Ambitious-Reference",2041,"Cars",15,2026,343485
"Ambitious-Reference",2041,"Cars",16,2025,215972
"Ambitious-Reference",2041,"Cars",17,2024,86170
"Ambitious-Reference",2041,"Cars",18,2023,28087
"Ambitious-Reference",2041,"Cars",19,2022,13343
"Ambitious-Reference",2041,"Cars",20,2021,2898
"Ambitious-Reference",2041,"Cars",21,2020,721
"Ambitious-Reference",2041,"Cars",22,2019,283
"Ambitious-Reference",2041,"Cars",23,2018,113
"Ambitious-Reference",2041,"Cars",24,2017,23
"Ambitious-Reference",2041,"Cars",25,2016,28
"Ambitious-Reference",2042,"Cars",0,2042,10763
"Ambitious-Reference",2042,"Cars",1,2041,16741
"Ambitious-Reference",2042,"Cars",2,2040,25988
"Ambitious-Reference",2042,"Cars",3,2039,40019
"Ambitious-Reference",2042,"Cars",4,2038,61523
"Ambitious-Reference",2042,"Cars",5,2037,94122
"Ambitious-Reference",2042,"Cars",6,2036,143356
"Ambitious-Reference",2042,"Cars",7,2035,215893
"Ambitious-Reference",2042,"Cars",8,2034,282803
"Ambitious-Reference",2042,"Cars",9,2033,379091
"Ambitious-Reference",2042,"Cars",10,2032,486923
"Ambitious-Reference",2042,"Cars",11,2031,603785
"Ambitious-Reference",2042,"Cars",12,2030,693492
"Ambitious-Reference",2042,"Cars",13,2029,681412
"Ambitious-Reference",2042,"Cars",14,2028,568150
"Ambitious-Reference",2042,"Cars",15,2027,411921
"Ambitious-Reference",2042,"Cars",16,2026,266694
"Ambitious-Reference",2042,"Cars",17,2025,145958
"Ambitious-Reference",2042,"Cars",18,2024,51326
"Ambitious-Reference",2042,"Cars",19,2023,15032
"Ambitious-Reference",2042,"Cars",20,2022,6564
"Ambitious-Reference",2042,"Cars",21,2021,1338
"Ambitious-Reference",2042,"Cars",22,2020,316
"Ambitious-Reference",2042,"Cars",23,2019,121
"Ambitious-Reference",2042,"Cars",24,2018,47
"Ambitious-Reference",2042,"Cars",25,2017,10
"Ambitious-Reference",2042,"Cars",26,2016,12
"Ambitious-Reference",2043,"Cars",0,2043,10851
"Ambitious-Reference",2043,"Cars",1,2042,16892
"Ambitious-Reference",2043,"Cars",2,2041,26237
"Ambitious-Reference",2043,"Cars",3,2040,40646
"Ambitious-Reference",2043,"Cars",4,2039,62407
"Ambitious-Reference",2043,"Cars",5,2038,95525
"Ambitious-Reference",2043,"Cars",6,2037,145197
"Ambitious-Reference",2043,"Cars",7,2036,219003
"Ambitious-Reference",2043,"Cars",8,2035,325024
"Ambitious-Reference",2043,"Cars",9,2034,416309
"Ambitious-Reference",2043,"Cars",10,2033,539742
"Ambitious-Reference",2043,"Cars",11,2032,660626
"Ambitious-Reference",2043,"Cars",12,2031,759039
"Ambitious-Reference",2043,"Cars",13,2030,794589
