"period","State","ev_share"
2039,"Montana",0.00338238763611872
2040,"Montana",0.00338238763611872
2041,"Montana",0.00338238763611872
2042,"Montana",0.00338238763611872
2043,"Montana",0.00338238763611872
2044,"Montana",0.00338238763611872
2045,"Montana",0.00338238763611872
2046,"Montana",0.00338238763611872
2047,"Montana",0.00338238763611872
2048,"Montana",0.00338238763611872
2049,"Montana",0.00338238763611872
2050,"Montana",0.00338238763611872
2023,"Nebraska",0.00206537356321839
2024,"Nebraska",0.00238551823508071
2025,"Nebraska",0.00270566290694303
2026,"Nebraska",0.00302580757880535
2027,"Nebraska",0.00334595225066767
2028,"Nebraska",0.00366609692252999
2029,"Nebraska",0.00398624159439231
2030,"Nebraska",0.00430638626625462
2031,"Nebraska",0.00462653093811694
2032,"Nebraska",0.00494667560997926
2033,"Nebraska",0.00526682028184158
2034,"Nebraska",0.0055869649537039
2035,"Nebraska",0.00590710962556622
2036,"Nebraska",0.00590710962556622
2037,"Nebraska",0.00590710962556622
2038,"Nebraska",0.00590710962556622
2039,"Nebraska",0.00590710962556622
2040,"Nebraska",0.00590710962556622
2041,"Nebraska",0.00590710962556622
2042,"Nebraska",0.00590710962556622
2043,"Nebraska",0.00590710962556622
2044,"Nebraska",0.00590710962556622
2045,"Nebraska",0.00590710962556622
2046,"Nebraska",0.00590710962556622
2047,"Nebraska",0.00590710962556622
2048,"Nebraska",0.00590710962556622
2049,"Nebraska",0.00590710962556622
2050,"Nebraska",0.00590710962556622
2023,"Nevada",0.0130208333333333
2024,"Nevada",0.0127305369411096
2025,"Nevada",0.0124402405488859
2026,"Nevada",0.0121499441566622
2027,"Nevada",0.0118596477644385
2028,"Nevada",0.0115693513722147
2029,"Nevada",0.011279054979991
2030,"Nevada",0.0109887585877673
2031,"Nevada",0.0106984621955436
2032,"Nevada",0.0104081658033199
2033,"Nevada",0.0101178694110961
2034,"Nevada",0.00982757301887241
2035,"Nevada",0.00953727662664869
2036,"Nevada",0.00953727662664869
2037,"Nevada",0.00953727662664869
2038,"Nevada",0.00953727662664869
2039,"Nevada",0.00953727662664869
2040,"Nevada",0.00953727662664869
2041,"Nevada",0.00953727662664869
2042,"Nevada",0.00953727662664869
