"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Kansas","Bourbon County","20","011","Bourbon",14408,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Virginia","Cumberland County","51","049","Cumberland",9878,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"South Carolina","Sumter County","45","085","Sumter",104165,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Alaska","Lake and Peninsula Borough","02","164","Lake and Peninsula",1331,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"West Virginia","Wyoming County","54","109","Wyoming",20277,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"California","Kern County","06","029","Kern",913820,"Pacific","CASO","Western Electricity Coordinating Council / California South","WECC California","US-WECC"
"Texas","Cooke County","48","097","Cooke",43782,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"South Carolina","Orangeburg County","45","075","Orangeburg",82820,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Wisconsin","Taylor County","55","119","Taylor",20058,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Minnesota","Mower County","27","099","Mower",40058,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Minnesota","Murray County","27","101","Murray",8049,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Rhode Island","Providence County","44","007","Providence",660615,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Missouri","Phelps County","29","161","Phelps",45284,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Mississippi","Prentiss County","28","117","Prentiss",25135,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Whitley County","21","235","Whitley",36825,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Indiana","Starke County","18","149","Starke",23206,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Texas","Williamson County","48","491","Williamson",697191,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Iowa","Mitchell County","19","131","Mitchell",10518,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Georgia","Emanuel County","13","107","Emanuel",23119,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Louisiana","Catahoula Parish","22","025","Catahoula",8414,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Pennsylvania","Carbon County","42","025","Carbon",65458,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Nebraska","Pawnee County","31","133","Pawnee",2512,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Tennessee","Unicoi County","47","171","Unicoi",17756,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"South Carolina","Spartanburg County","45","083","Spartanburg",356698,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Wisconsin","Marathon County","55","073","Marathon",138612,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Nevada","Elko County","32","007","Elko",54293,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
