"Scenario","Year","State","vehSize","total_gallons"
"Ambitious",2026,"Florida","Car",178090242.532284
"Ambitious",2026,"Florida","Light Truck",376852247.871377
"Ambitious",2026,"Georgia","Car",68335419.303766
"Ambitious",2026,"Georgia","Light Truck",144597910.069492
"Ambitious",2026,"Hawaii","Car",13704820.2912251
"Ambitious",2026,"Hawaii","Light Truck",27024422.0257335
"Ambitious",2026,"Idaho","Car",6774770.74943063
"Ambitious",2026,"Idaho","Light Truck",16114796.985773
"Ambitious",2026,"Illinois","Car",70297672.1686071
"Ambitious",2026,"Illinois","Light Truck",170127711.217357
"Ambitious",2026,"Indiana","Car",21465138.1076572
"Ambitious",2026,"Indiana","Light Truck",51492330.5128068
"Ambitious",2026,"Iowa","Car",8155440.7820868
"Ambitious",2026,"Iowa","Light Truck",20262655.4967117
"Ambitious",2026,"Kansas","Car",9049819.80623098
"Ambitious",2026,"Kansas","Light Truck",22604010.0061955
"Ambitious",2026,"Kentucky","Car",11593134.7993704
"Ambitious",2026,"Kentucky","Light Truck",25420276.9684059
"Ambitious",2026,"Louisiana","Car",8518068.48204876
"Ambitious",2026,"Louisiana","Light Truck",18962170.5879775
"Ambitious",2026,"Maine","Car",5862243.12636675
"Ambitious",2026,"Maine","Light Truck",14216422.8874916
"Ambitious",2026,"Maryland","Car",53599923.894818
"Ambitious",2026,"Maryland","Light Truck",113432558.297409
"Ambitious",2026,"Massachusetts","Car",49833425.8567505
"Ambitious",2026,"Massachusetts","Light Truck",121386800.951474
"Ambitious",2026,"Michigan","Car",40636338.7725165
"Ambitious",2026,"Michigan","Light Truck",97837127.8701299
"Ambitious",2026,"Minnesota","Car",28826553.7417299
"Ambitious",2026,"Minnesota","Light Truck",72532037.8107729
"Ambitious",2026,"Mississippi","Car",4917342.45319817
"Ambitious",2026,"Mississippi","Light Truck",10776907.0870201
"Ambitious",2026,"Missouri","Car",20863553.1190856
"Ambitious",2026,"Missouri","Light Truck",52218822.1232828
"Ambitious",2026,"Montana","Car",3764302.80041354
"Ambitious",2026,"Montana","Light Truck",8956561.93356893
"Ambitious",2026,"Nebraska","Car",5904250.42741645
"Ambitious",2026,"Nebraska","Light Truck",14721809.3021814
"Ambitious",2026,"Nevada","Car",29134393.9755679
"Ambitious",2026,"Nevada","Light Truck",69703298.2385878
"Ambitious",2026,"New Hampshire","Car",6838501.91101855
"Ambitious",2026,"New Hampshire","Light Truck",16636996.2569154
"Ambitious",2026,"New Jersey","Car",92229684.5522906
"Ambitious",2026,"New Jersey","Light Truck",215357557.217964
"Ambitious",2026,"New Mexico","Car",7659351.77477092
"Ambitious",2026,"New Mexico","Light Truck",18231966.4292462
"Ambitious",2026,"New York","Car",101468115.739522
"Ambitious",2026,"New York","Light Truck",236007397.754406
"Ambitious",2026,"North Carolina","Car",54684670.2757739
"Ambitious",2026,"North Carolina","Light Truck",115877558.877779
"Ambitious",2026,"North Dakota","Car",1529695.75487775
"Ambitious",2026,"North Dakota","Light Truck",3739056.02573582
"Ambitious",2026,"Ohio","Car",40011079.5981341
"Ambitious",2026,"Ohio","Light Truck",96130474.3070952
"Ambitious",2026,"Oklahoma","Car",16249617.9185319
"Ambitious",2026,"Oklahoma","Light Truck",36060904.4798911
"Ambitious",2026,"Oregon","Car",40664762.4012481
