"Scenario","Year","age","modelYear","vehSize","LIB"
"Ambitious-Long",2036,1,2035,"Car",1731.70353814263
"Ambitious-Long",2036,1,2035,"Light Truck",3124.29646185738
"Ambitious-Long",2036,2,2034,"Car",2365.44464813337
"Ambitious-Long",2036,2,2034,"Light Truck",4316.55535186664
"Ambitious-Long",2036,3,2033,"Car",3349.95458505155
"Ambitious-Long",2036,3,2033,"Light Truck",6249.04541494845
"Ambitious-Long",2036,4,2032,"Car",4889.36035124964
"Ambitious-Long",2036,4,2032,"Light Truck",8796.63964875036
"Ambitious-Long",2036,5,2031,"Car",7107.79603148424
"Ambitious-Long",2036,5,2031,"Light Truck",12593.2039685158
"Ambitious-Long",2036,6,2030,"Car",10278.6792190083
"Ambitious-Long",2036,6,2030,"Light Truck",17918.3207809917
"Ambitious-Long",2036,7,2029,"Car",13486.6533347803
"Ambitious-Long",2036,7,2029,"Light Truck",24132.3466652197
"Ambitious-Long",2036,8,2028,"Car",17195.2246211345
"Ambitious-Long",2036,8,2028,"Light Truck",30253.7753788655
"Ambitious-Long",2036,9,2027,"Car",22318.9753579996
"Ambitious-Long",2036,9,2027,"Light Truck",38315.0246420004
"Ambitious-Long",2036,10,2026,"Car",37048.6901028229
"Ambitious-Long",2036,10,2026,"Light Truck",60682.3098971771
"Ambitious-Long",2036,11,2025,"Car",45724.8806246773
"Ambitious-Long",2036,11,2025,"Light Truck",70259.1193753227
"Ambitious-Long",2036,12,2024,"Car",36474.1903935246
"Ambitious-Long",2036,12,2024,"Light Truck",60135.8096064753
"Ambitious-Long",2036,13,2023,"Car",27013.7308379166
"Ambitious-Long",2036,13,2023,"Light Truck",40018.2691620834
"Ambitious-Long",2036,14,2022,"Car",30247.5374113331
"Ambitious-Long",2036,14,2022,"Light Truck",44578.462588667
"Ambitious-Long",2036,15,2021,"Car",15241.3695317947
"Ambitious-Long",2036,15,2021,"Light Truck",22609.6304682053
"Ambitious-Long",2036,16,2020,"Car",8404.60974061609
"Ambitious-Long",2036,16,2020,"Light Truck",12510.3902593839
"Ambitious-Long",2036,17,2019,"Car",6809.60959856901
"Ambitious-Long",2036,17,2019,"Light Truck",10001.390401431
"Ambitious-Long",2036,18,2018,"Car",4934.09072120317
"Ambitious-Long",2036,18,2018,"Light Truck",7174.90927879682
"Ambitious-Long",2036,19,2017,"Car",1659.959791945
"Ambitious-Long",2036,19,2017,"Light Truck",2381.040208055
"Ambitious-Long",2036,20,2016,"Car",2893.40399632547
"Ambitious-Long",2036,20,2016,"Light Truck",4080.59600367453
"Ambitious-Long",2037,0,2037,"Car",1127.84590437901
