"Scenario","Year","State","vehSize","total_kwh"
"Ambitious",2024,"New Hampshire","Light Truck",60182252.6619111
"Ambitious",2024,"New Jersey","Car",279305637.503467
"Ambitious",2024,"New Jersey","Light Truck",828159787.843969
"Ambitious",2024,"New Mexico","Car",22631830.900595
"Ambitious",2024,"New Mexico","Light Truck",60941998.9010505
"Ambitious",2024,"New York","Car",278585478.644714
"Ambitious",2024,"New York","Light Truck",825391855.537994
"Ambitious",2024,"North Carolina","Car",189235337.237584
"Ambitious",2024,"North Carolina","Light Truck",385257764.541509
"Ambitious",2024,"North Dakota","Car",2391690.53849303
"Ambitious",2024,"North Dakota","Light Truck",8170145.25555388
"Ambitious",2024,"Ohio","Car",99105067.7591864
"Ambitious",2024,"Ohio","Light Truck",323764801.844164
"Ambitious",2024,"Oklahoma","Car",56106093.5048482
"Ambitious",2024,"Oklahoma","Light Truck",121559923.419172
"Ambitious",2024,"Oregon","Car",165536780.929068
"Ambitious",2024,"Oregon","Light Truck",291989878.363287
"Ambitious",2024,"Pennsylvania","Car",145963565.265037
"Ambitious",2024,"Pennsylvania","Light Truck",432633044.925141
"Ambitious",2024,"Rhode Island","Car",12236050.0108638
"Ambitious",2024,"Rhode Island","Light Truck",40865472.8162754
"Ambitious",2024,"South Carolina","Car",58291216.5724102
"Ambitious",2024,"South Carolina","Light Truck",119133537.248428
"Ambitious",2024,"South Dakota","Car",3439579.96362739
"Ambitious",2024,"South Dakota","Light Truck",11841190.5879278
"Ambitious",2024,"Tennessee","Car",82590393.5964669
"Ambitious",2024,"Tennessee","Light Truck",192727291.741399
"Ambitious",2024,"Texas","Car",590267260.1771
"Ambitious",2024,"Texas","Light Truck",1293379344.16491
"Ambitious",2024,"Utah","Car",83335818.677079
"Ambitious",2024,"Utah","Light Truck",224336264.264293
"Ambitious",2024,"Vermont","Car",14319425.7070777
"Ambitious",2024,"Vermont","Light Truck",47831932.7003153
"Ambitious",2024,"Virginia","Car",221620113.140106
"Ambitious",2024,"Virginia","Light Truck",448936394.61447
"Ambitious",2024,"Washington","Car",409586418.430487
"Ambitious",2024,"Washington","Light Truck",727025992.852755
"Ambitious",2024,"West Virginia","Car",8419394.58781865
"Ambitious",2024,"West Virginia","Light Truck",17291218.4011213
"Ambitious",2024,"Wisconsin","Car",51464154.7942421
"Ambitious",2024,"Wisconsin","Light Truck",167606691.097989
